,System-1陷阱_TruthfulQA,System1陷阱_同质_CSQA,事实冲撞_HaluEval,事实冲撞_同质_MMLU_CollBio,事实冲撞_同质_SciQ,事实冲撞_同质_TriviaQA,数学逻辑_GSM8K,数学逻辑_同质_MMLU_ElemMath,数学逻辑_同质_MathQA,数学逻辑_同质_MultiArith,数学逻辑_同质_SVAMP
System-1陷阱_TruthfulQA,1.0,0.5003245274906672,0.3341949288227941,0.3836501730043192,0.31502588274309995,0.3145562767368368,0.38990219934560166,0.3382963729980329,0.31129068375148305,0.30658719323818207,0.3456944428004168
System1陷阱_同质_CSQA,0.5003245274906672,1.0,0.40626753692763756,0.3002058629096426,0.28538455849550715,0.341718950079058,0.304070733455026,0.2961699666479714,0.2929744754467491,0.29925635765695957,0.3557724852275161
事实冲撞_HaluEval,0.3341949288227941,0.40626753692763756,1.0,0.34507054883757,0.2795870083618579,0.4613203101602376,0.3211676167250477,0.31482555314892635,0.5268037556269491,0.30655816540227826,0.2980967617001747
事实冲撞_同质_MMLU_CollBio,0.3836501730043192,0.3002058629096426,0.34507054883757,1.0,0.33676181146136,0.35488139044686284,0.49793365978178145,0.515614194230467,0.3432150995018538,0.3709266775380984,0.3739838988181429
事实冲撞_同质_SciQ,0.31502588274309995,0.28538455849550715,0.2795870083618579,0.33676181146136,1.0,0.3360618401563893,0.4390897068246257,0.4718417029491677,0.2932194002205293,0.40171352753306777,0.2975527287311714
事实冲撞_同质_TriviaQA,0.3145562767368368,0.341718950079058,0.4613203101602376,0.35488139044686284,0.3360618401563893,1.0,0.3447922885404826,0.3263348841825641,0.44214223404682457,0.2946841090307029,0.29726781815399794
数学逻辑_GSM8K,0.38990219934560166,0.304070733455026,0.3211676167250477,0.49793365978178145,0.4390897068246257,0.3447922885404826,1.0,0.5053172174814693,0.35322617059325984,0.351948438464036,0.35084664420418926
数学逻辑_同质_MMLU_ElemMath,0.3382963729980329,0.2961699666479714,0.31482555314892635,0.515614194230467,0.4718417029491677,0.3263348841825641,0.5053172174814693,1.0,0.3086462001438047,0.30845236269173676,0.3089847050859709
数学逻辑_同质_MathQA,0.31129068375148305,0.2929744754467491,0.5268037556269491,0.3432150995018538,0.2932194002205293,0.44214223404682457,0.35322617059325984,0.3086462001438047,1.0,0.27577737010370834,0.29875838484089695
数学逻辑_同质_MultiArith,0.30658719323818207,0.29925635765695957,0.30655816540227826,0.3709266775380984,0.40171352753306777,0.2946841090307029,0.351948438464036,0.30845236269173676,0.27577737010370834,1.0,0.3196178630095534
数学逻辑_同质_SVAMP,0.3456944428004168,0.3557724852275161,0.2980967617001747,0.3739838988181429,0.2975527287311714,0.29726781815399794,0.35084664420418926,0.3089847050859709,0.29875838484089695,0.3196178630095534,1.0
