,System-1陷阱_TruthfulQA,System1陷阱_同质_CSQA,事实冲撞_HaluEval,事实冲撞_同质_MMLU_CollBio,事实冲撞_同质_SciQ,事实冲撞_同质_TriviaQA,数学逻辑_GSM8K,数学逻辑_同质_MMLU_ElemMath,数学逻辑_同质_MathQA,数学逻辑_同质_MultiArith,数学逻辑_同质_SVAMP
System-1陷阱_TruthfulQA,1.0,0.542838387292925,0.6383191417806912,0.6581501990141284,0.6225784154493286,0.603734431954703,0.6653007654538614,0.6295510811641782,0.614435351927341,0.5757619541604785,0.6581488327809508
System1陷阱_同质_CSQA,0.542838387292925,1.0,0.6187408109933784,0.5286510097483552,0.5336292314444032,0.5566909769237228,0.566156132827581,0.5487997003522681,0.5616890025692808,0.5780439972326771,0.5223937438464489
事实冲撞_HaluEval,0.6383191417806912,0.6187408109933784,1.0,0.630100809737002,0.5033677645079059,0.6111195298817544,0.6007611984716288,0.5787571666470386,0.5533059637020051,0.5923720112098373,0.5321615328922658
事实冲撞_同质_MMLU_CollBio,0.6581501990141284,0.5286510097483552,0.630100809737002,1.0,0.5595023727674266,0.6497609579737573,0.6268113272167383,0.5988219865321923,0.5693385275096328,0.5799181445137774,0.5741920022257554
事实冲撞_同质_SciQ,0.6225784154493286,0.5336292314444032,0.5033677645079059,0.5595023727674266,1.0,0.5889452831751106,0.6146650741465137,0.5810739733351529,0.5685515286178278,0.516239433195067,0.5924753459612042
事实冲撞_同质_TriviaQA,0.603734431954703,0.5566909769237228,0.6111195298817544,0.6497609579737573,0.5889452831751106,1.0,0.5985472224430899,0.6135524850594585,0.5860038904992442,0.5472531000932955,0.5408604411174351
数学逻辑_GSM8K,0.6653007654538614,0.566156132827581,0.6007611984716288,0.6268113272167383,0.6146650741465137,0.5985472224430899,1.0,0.591982161067612,0.6013379559799834,0.5437350615146894,0.5798618391347027
数学逻辑_同质_MMLU_ElemMath,0.6295510811641782,0.5487997003522681,0.5787571666470386,0.5988219865321923,0.5810739733351529,0.6135524850594585,0.591982161067612,1.0,0.5983834682530197,0.560379096583997,0.5724481766213366
数学逻辑_同质_MathQA,0.614435351927341,0.5616890025692808,0.5533059637020051,0.5693385275096328,0.5685515286178278,0.5860038904992442,0.6013379559799834,0.5983834682530197,1.0,0.5155992134537247,0.5877356062580494
数学逻辑_同质_MultiArith,0.5757619541604785,0.5780439972326771,0.5923720112098373,0.5799181445137774,0.516239433195067,0.5472531000932955,0.5437350615146894,0.560379096583997,0.5155992134537247,1.0,0.5091150906131506
数学逻辑_同质_SVAMP,0.6581488327809508,0.5223937438464489,0.5321615328922658,0.5741920022257554,0.5924753459612042,0.5408604411174351,0.5798618391347027,0.5724481766213366,0.5877356062580494,0.5091150906131506,1.0
