,System-1陷阱_TruthfulQA,System1陷阱_同质_CSQA,事实冲撞_HaluEval,事实冲撞_同质_MMLU_CollBio,事实冲撞_同质_SciQ,事实冲撞_同质_TriviaQA,数学逻辑_GSM8K,数学逻辑_同质_MMLU_ElemMath,数学逻辑_同质_MathQA,数学逻辑_同质_MultiArith,数学逻辑_同质_SVAMP
System-1陷阱_TruthfulQA,1.0,0.4563652383444983,-0.48613591206575135,0.1076763804116331,-0.23973165074269204,-0.12909944487358055,0.10707459153723745,0.03516054232038716,-0.468618523997089,-0.06776309271789384,0.02224970797449924
System1陷阱_同质_CSQA,0.4563652383444983,1.0,0.1585187847802434,-0.32759838007085207,-0.5681392423026838,0.08268982305947231,-0.2857609443715273,-0.38285310554134766,-0.01305026418895979,-0.5208373887858857,0.15676340506899106
事实冲撞_HaluEval,-0.48613591206575135,0.1585187847802434,1.0,-0.3806934938134405,-0.13561270072416204,0.30429030972509225,-0.15142633953752063,-0.23204774044612855,0.5618769612265619,-0.42325572431246017,0.007866459694094408
事实冲撞_同质_MMLU_CollBio,0.1076763804116331,-0.32759838007085207,-0.3806934938134405,1.0,0.09034702747727606,0.023168268228563865,0.3939213187351135,0.41645559234062657,0.08775503731799753,0.1337688834049462,0.15572492129414525
事实冲撞_同质_SciQ,-0.23973165074269204,-0.5681392423026838,-0.13561270072416204,0.09034702747727606,1.0,0.06189844605901729,0.265248075345488,0.39335775973548587,-0.2409669342653775,0.29240924538043417,-0.10667918442539083
事实冲撞_同质_TriviaQA,-0.12909944487358055,0.08268982305947231,0.30429030972509225,0.023168268228563865,0.06189844605901729,1.0,0.046077567758409134,0.0,0.31564378072435245,-0.3499271061118826,-0.019149499654047535
数学逻辑_GSM8K,0.10707459153723745,-0.2857609443715273,-0.15142633953752063,0.3939213187351135,0.265248075345488,0.046077567758409134,1.0,0.4266774134807634,0.03393622795230917,0.12092842456780722,0.0794126131064107
数学逻辑_同质_MMLU_ElemMath,0.03516054232038716,-0.38285310554134766,-0.23204774044612855,0.41645559234062657,0.39335775973548587,0.0,0.4266774134807634,1.0,-0.12098966085303313,0.021178551904602893,-0.020861647969430297
数学逻辑_同质_MathQA,-0.468618523997089,-0.01305026418895979,0.5618769612265619,0.08775503731799753,-0.2409669342653775,0.31564378072435245,0.03393622795230917,-0.12098966085303313,1.0,-0.4234005398791641,-0.09066630704674865
数学逻辑_同质_MultiArith,-0.06776309271789384,-0.5208373887858857,-0.42325572431246017,0.1337688834049462,0.29240924538043417,-0.3499271061118826,0.12092842456780722,0.021178551904602893,-0.4234005398791641,1.0,0.10051393496147026
数学逻辑_同质_SVAMP,0.02224970797449924,0.15676340506899106,0.007866459694094408,0.15572492129414525,-0.10667918442539083,-0.019149499654047535,0.0794126131064107,-0.020861647969430297,-0.09066630704674865,0.10051393496147026,1.0
