,System-1陷阱_TruthfulQA,System1陷阱_同质_CSQA,事实冲撞_HaluEval,事实冲撞_同质_MMLU_CollBio,事实冲撞_同质_SciQ,事实冲撞_同质_TriviaQA,数学逻辑_GSM8K,数学逻辑_同质_MMLU_ElemMath,数学逻辑_同质_MathQA,数学逻辑_同质_MultiArith,数学逻辑_同质_SVAMP
System-1陷阱_TruthfulQA,1.0,0.807666908537878,0.7916670088763547,0.8262564751150407,0.6678561219286742,0.7931461249140344,0.7638606403632402,0.7439736643258306,0.6948677380268874,0.6907872261964192,0.7627826939506249
System1陷阱_同质_CSQA,0.807666908537878,1.0,0.8670067200924633,0.7920058679324397,0.6376603438043725,0.8114794629034953,0.7470657967887944,0.720644049546554,0.7099091320007832,0.6432367253929842,0.791000788090984
事实冲撞_HaluEval,0.7916670088763547,0.8670067200924633,1.0,0.867722168505559,0.7521554034157103,0.9146219986568143,0.8298118220190474,0.7931924833460334,0.8122172487494947,0.7289410069178499,0.8076103480928181
事实冲撞_同质_MMLU_CollBio,0.8262564751150407,0.7920058679324397,0.867722168505559,1.0,0.7941914749988995,0.8941247074532686,0.8895624557779621,0.8834934150528235,0.8369899468084009,0.8200469279159244,0.8498145285942353
事实冲撞_同质_SciQ,0.6678561219286742,0.6376603438043725,0.7521554034157103,0.7941914749988995,1.0,0.7997164530894194,0.8138602720507183,0.7888583827505992,0.7009290460867492,0.7312051553847504,0.707392837336273
事实冲撞_同质_TriviaQA,0.7931461249140344,0.8114794629034953,0.9146219986568143,0.8941247074532686,0.7997164530894194,1.0,0.8685219646338608,0.8059663624526262,0.832374344726237,0.7612106321787285,0.8223970030317038
数学逻辑_GSM8K,0.7638606403632402,0.7470657967887944,0.8298118220190474,0.8895624557779621,0.8138602720507183,0.8685219646338608,1.0,0.8409045619770511,0.8347603244841368,0.7988749110697743,0.8318784496240148
数学逻辑_同质_MMLU_ElemMath,0.7439736643258306,0.720644049546554,0.7931924833460334,0.8834934150528235,0.7888583827505992,0.8059663624526262,0.8409045619770511,1.0,0.7536386626934086,0.7438195205104466,0.7873777386474177
数学逻辑_同质_MathQA,0.6948677380268874,0.7099091320007832,0.8122172487494947,0.8369899468084009,0.7009290460867492,0.832374344726237,0.8347603244841368,0.7536386626934086,1.0,0.6910347126472216,0.7326935969194734
数学逻辑_同质_MultiArith,0.6907872261964192,0.6432367253929842,0.7289410069178499,0.8200469279159244,0.7312051553847504,0.7612106321787285,0.7988749110697743,0.7438195205104466,0.6910347126472216,1.0,0.7345762027509553
数学逻辑_同质_SVAMP,0.7627826939506249,0.791000788090984,0.8076103480928181,0.8498145285942353,0.707392837336273,0.8223970030317038,0.8318784496240148,0.7873777386474177,0.7326935969194734,0.7345762027509553,1.0
